estado_importacao,chave_importacao,duplicado_provavel,ordem_cronologica,matricula,vin_chassi,processo_oficina,folha_obra,data_documento,hora_documento,data_hora_documento,origem_maquina,tipo_registo,resumo,link_documento_original,origem_ficheiro,lote_importacao,observacoes_importacao,criado_por,criado_em,km_leitura,modulo_calculador,referencia_software,edicao_calibracao,edicao_software,data_telecarregamento,numero_telecarregamentos,fornecedor_ecu,referencia_material,km_ultima_reposicao_manutencao,km_ate_proxima_manutencao,dias_ate_proxima_manutencao,dias_desde_ultima_reposicao_manutencao,numero_manutencoes_efetuadas,limite_temporal_ultrapassado,limite_quilometrico_ultrapassado,limiar_manutencao_km,duracao_manutencao_meses,inicio_primeira_manutencao_km,duracao_antes_primeira_manutencao_meses,gestao_manutencao,taxa_diluicao_oleo_pct,taxa_carbono_oleo_pct,protecao_anti_diluicao,intervalo_calculado_calculador_km,existem_defeitos,numero_total_codigos_eventos,codigos_principais,defeito_critico,estado_principal,caracterizacao_resumo_defeito,km_associado_defeito,acao_recomendada
validado,2dda334c2b019490_2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_2.pdf,sim,62,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes diversas,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-diversas.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,2dda334c2b019490_2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_3.pdf,sim,63,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes diversas,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-diversas.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_3.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,2dda334c2b019490_2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_4.pdf,sim,64,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes diversas,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-diversas.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_4.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,2dda334c2b019490_2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_6.pdf,sim,66,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes diversas,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-diversas.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_6.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,e80f7540ecfe1b90_2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_7.pdf,sim,67,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes diversas,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-diversas_1.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_7.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,2dda334c2b019490_2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_8.pdf,sim,68,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes diversas,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-diversas.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-diversas_8.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,875ceea0c3a77e25_2026-03-30_VR3EDYHT1RJ643860_informacoes-do-sensor-giroscopico_2.pdf,sim,70,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes do sensor giroscopico,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-do-sensor-giroscopico.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-do-sensor-giroscopico_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,c44c34cba682a767_2026-03-30_VR3EDYHT1RJ643860_informacoes-do-travao-de-estacionamento-com-comando-eletrico-fse_2.pdf,sim,72,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes do travao de estacionamento com comando eletrico fse,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-do-travao-de-estacionamento-com-comando-eletrico-fse.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-do-travao-de-estacionamento-com-comando-eletrico-fse_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,867a6ad8254670a3_2026-03-30_VR3EDYHT1RJ643860_informacoes-do-veiculo-equipado-com-camara-de-video-multifuncoes_2.pdf,sim,74,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes do veiculo equipado com camara de video multifuncoes,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-do-veiculo-equipado-com-camara-de-video-multifuncoes.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-do-veiculo-equipado-com-camara-de-video-multifuncoes_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
validado,e3c1a6fc2ee3d5e6_2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_2.pdf,sim,76,BI-69-MF,VR3EDYHT1RJ643860,,,2026-03-30,,2026-03-30,Autel,outro,informacoes linha de escape 1,file:///C:/Users/andre/OneDrive%20-%20D'accord%20Invest%20-%20Servi%C3%A7os%20Partilhados%20SA/CARFAST%20-%20OFICINA%20-%20HISTORICO%20TECNICO/2026/03_Marco/2026-03-30_BI-69-MF_VR3EDYHT1RJ643860_outro_informacoes-linha-de-escape-1.pdf,2026-03-30_VR3EDYHT1RJ643860_informacoes-linha-de-escape-1_2.pdf,historico_tecnico_2026_v2,matricula inferida por VIN,Codex,2026-05-20 03:17:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
